line,drug,conc,plate,is_proteasome,lfc_b6,lfc_b5,lfc_b1,base_b6,base_b5,base_b1,padj_b6,padj_b5,padj_b1,spread,lowest,highest,induced,fdr_ok,N_eff,first_b1,first_b5,first_b6,base_rank_lowest
SW 900,Dinaciclib,0.050000000745058,7,False,-1.7728474140167236,-0.0367039181292057,0.6527896523475647,14.712506294250488,11.56123161315918,10.892333984375,0.0103661622852087,0.9624427556991576,0.376010924577713,2.4256370663642883,b6,b1,False,False,4.243752036635494,0.5536488657536723,0.34330186914239974,0.10304926510392781,3
SHP-77,BAY1125976,5.0,3,False,-0.5400739908218384,-0.3333812355995178,-2.7581512928009033,24.30939483642578,25.32517433166504,16.53883171081543,0.2435732185840606,0.603559672832489,2.195726693798861e-07,2.4247700572013855,b1,b5,False,False,4.07806048048418,0.09072628898075161,0.4871488334431426,0.42212487757610573,1
RKO,TAK-901,5.0,3,False,1.2883989810943604,-1.134831190109253,-0.2539869844913482,101.4393310546875,31.939678192138672,19.312641143798828,3.5810875884676255e-14,0.0219960082322359,0.6378991007804871,2.4232301712036133,b5,b6,False,True,4.308693233796194,0.22442619645063883,0.12187454904583825,0.6536992545035228,2
COLO 205,Cobimetinib,0.5,8,False,-0.3338643908500671,0.2102077007293701,-2.2088451385498047,38.90127182006836,18.18722915649414,9.678385734558104,0.4675952196121216,0.7842923402786255,0.0126665104180574,2.419052839279175,b1,b5,False,False,4.209308822439031,0.09983861006259445,0.533956640473012,0.3662047494643936,1
COLO 205,Docetaxel,0.050000000745058,4,False,0.7903076410293579,-1.3975183963775637,1.0070385932922363,21.645755767822266,5.156601905822754,9.208662986755373,0.1012014597654342,0.328287661075592,0.2376014590263366,2.4045569896698,b5,b1,False,False,4.1027540986125235,0.48795241762267183,0.09215813851534005,0.419889443861988,1
COLO 205,Glycyrrhizic acid,0.050000000745058,7,False,-2.2629854679107666,-0.4248316884040832,0.1261756718158722,6.349052429199219,5.988890171051025,8.392681121826172,0.1558329612016677,0.7938007116317749,0.9387066960334778,2.389161139726639,b6,b1,False,False,4.242277493190333,0.5337783646284795,0.3643268874517308,0.1018947479197897,2
HCT15,Belzutifan,0.050000000745058,1,False,0.5460731387138367,-1.841878652572632,-0.9652531147003174,33.124507904052734,6.920869827270508,6.694666862487793,0.370323121547699,0.3691060543060303,0.5977711081504822,2.3879517912864685,b5,b6,False,False,4.342796323998257,0.22751266645041446,0.12391246557762987,0.6485748679719557,2
SW480,Hydroxyfasudil,0.050000000745058,1,False,-0.142493188381195,-1.800430178642273,0.5739842057228088,51.00489807128906,16.762712478637695,40.66866683959961,0.9649710655212402,0.4189276695251465,0.6040471196174622,2.374414384365082,b5,b1,False,False,4.303141787260186,0.555112633001021,0.10705603612675012,0.3378313308722289,1
HS-578T,Bortezomib,5.0,3,True,0.4797374308109283,0.7907294631004333,-1.5821900367736816,28.61366271972656,9.745406150817873,7.398279666900635,0.328784167766571,0.3270279467105865,0.2247515767812729,2.372919499874115,b1,b5,False,False,4.174004213073227,0.09656871333557623,0.5002146324819542,0.4032166541824696,1
COLO 205,Anethole trithione,5.0,6,False,0.0268116760998964,0.2634122669696808,-2.0943644046783447,61.50162506103515,30.58121109008789,20.446535110473633,0.9606995582580566,0.6385335922241211,1.2054705621267203e-05,2.3577766716480255,b1,b5,False,False,4.158919149672685,0.0954537054147249,0.4892764280241296,0.4152698665611456,1
LoVo,Ouabain (Octahydrate),5.0,12,False,1.357161283493042,-0.2082709372043609,-0.9955723285675048,384.5014953613281,111.00032043457033,52.19209671020508,0.0,0.2297370284795761,1.0215711881755851e-05,2.352733612060547,b1,b6,False,True,4.36574252051423,0.12765270313215382,0.22030854900709923,0.6520387478607469,1
CFPAC-1,Cepharanthine,5.0,14,False,-0.3896134197711944,0.0699177980422973,-2.277204990386963,97.02678680419922,38.948116302490234,10.093107223510742,0.1870535910129547,0.9320037961006165,0.011852640658617,2.3471227884292603,b1,b5,False,False,4.256007427530621,0.10216325484575921,0.5198153304341893,0.37802141472005146,1
Hs 766T,SBI-0640756,5.0,3,False,0.1269030421972274,-0.3331837654113769,-2.1948440074920654,13.362653732299805,7.093952655792236,3.891878128051758,0.9722898602485656,0.9722898602485656,0.6119861006736755,2.321747049689293,b1,b6,False,False,4.282685490719327,0.10380304164934667,0.37724687773856813,0.5189500806120851,1
