gene_name,baseMean,log2FoldChange,padj,n_cells_trt,n_cells_ctrl,drug,concentration,concentration_unit,Cell_Name_Vevo,plate
PSMB6,68.40787,-0.36813846,0.26442555,1393,4862,Bentamapimod,0.05,uM,A549,1
PSMB1,115.48064,0.17041257,0.50701547,2120,4862,Bimiralisib,0.05,uM,A549,1
PSMB5,80.225815,-0.1776593,0.53903675,2120,4862,Bimiralisib,0.05,uM,A549,1
PSMB6,94.43274,-0.8150069,0.005247571,2120,4862,Bimiralisib,0.05,uM,A549,1
PSMB1,93.334,0.2625515,0.3659036,1727,4862,Binimetinib,0.05,uM,A549,1
PSMB5,73.9598,0.30223382,0.27508688,1727,4862,Binimetinib,0.05,uM,A549,1
PSMB6,84.25545,0.016085887,0.96698034,1727,4862,Binimetinib,0.05,uM,A549,1
PSMB1,124.50031,0.6498639,0.00010199628,1069,4862,Bortezomib,0.05,uM,A549,1
PSMB5,103.625046,0.88404715,1.26399415e-08,1069,4862,Bortezomib,0.05,uM,A549,1
PSMB6,125.19897,1.0131973,1.0050255e-08,1069,4862,Bortezomib,0.05,uM,A549,1
PSMB1,111.11138,0.15356898,0.6772436,1827,4862,Brivudine,0.05,uM,A549,1
PSMB5,71.62842,0.10385926,0.7928457,1827,4862,Brivudine,0.05,uM,A549,1
PSMB6,84.15867,-0.34283367,0.24701606,1827,4862,Brivudine,0.05,uM,A549,1
PSMB1,114.95147,0.12212306,0.69574255,1734,4862,CP21R7,0.05,uM,A549,1
PSMB5,70.84458,-0.21380547,0.5967431,1734,4862,CP21R7,0.05,uM,A549,1
PSMB6,98.271675,-0.05180423,0.8925569,1734,4862,CP21R7,0.05,uM,A549,1
PSMB1,110.66714,0.036876168,0.93718874,1839,4862,Capivasertib,0.05,uM,A549,1
PSMB5,78.89085,0.045419652,0.92867976,1839,4862,Capivasertib,0.05,uM,A549,1
PSMB6,90.765915,-0.12184745,0.8563668,1839,4862,Capivasertib,0.05,uM,A549,1
PSMB1,99.74003,0.283373,0.24600168,1593,4862,Capmatinib,0.05,uM,A549,1
PSMB5,77.79615,0.22468089,0.57034636,1593,4862,Capmatinib,0.05,uM,A549,1
PSMB6,80.323105,-0.1401617,0.73138654,1593,4862,Capmatinib,0.05,uM,A549,1
PSMB1,93.38153,-0.03887901,0.9158954,1168,4862,Celecoxib,0.05,uM,A549,1
PSMB5,60.500507,-0.46813023,0.28300264,1168,4862,Celecoxib,0.05,uM,A549,1
PSMB6,69.86222,-0.6523797,0.10425021,1168,4862,Celecoxib,0.05,uM,A549,1
PSMB1,93.16405,0.036897335,0.9292028,1169,4862,DT-061,0.05,uM,A549,1
PSMB5,63.708447,-0.30615735,0.5220291,1169,4862,DT-061,0.05,uM,A549,1
PSMB6,68.215805,-0.56027555,0.2140366,1169,4862,DT-061,0.05,uM,A549,1
PSMB1,3.4792814,-0.79515517,0.7977709,2,4862,DTP3,0.05,uM,A549,1
PSMB5,2.7325284,-0.4463551,0.8929245,2,4862,DTP3,0.05,uM,A549,1
PSMB6,3.5527616,-0.8251869,0.7888458,2,4862,DTP3,0.05,uM,A549,1
PSMB1,105.98229,-0.12786968,0.71220237,1932,4862,Dabrafenib,0.05,uM,A549,1
PSMB5,80.387405,-0.2614354,0.38165885,1932,4862,Dabrafenib,0.05,uM,A549,1
PSMB6,98.47784,-0.28042564,0.26053625,1932,4862,Dabrafenib,0.05,uM,A549,1
PSMB1,116.97812,0.058926735,0.9068673,1631,4862,ERK5-IN-2,0.05,uM,A549,1
PSMB5,85.67347,0.024645768,0.95716655,1631,4862,ERK5-IN-2,0.05,uM,A549,1
PSMB6,88.75283,-0.77407503,6.519701e-05,1631,4862,ERK5-IN-2,0.05,uM,A549,1
PSMB1,105.90833,0.12479242,0.79685104,1604,4862,ETC-206,0.05,uM,A549,1
PSMB5,68.73755,-0.033206906,0.9495267,1604,4862,ETC-206,0.05,uM,A549,1
PSMB6,84.9913,-0.35538936,0.27118298,1604,4862,ETC-206,0.05,uM,A549,1
PSMB1,88.568474,-0.20954436,0.44935945,1230,4862,EX229,0.05,uM,A549,1
PSMB5,68.115944,-0.15333195,0.6389736,1230,4862,EX229,0.05,uM,A549,1
PSMB6,73.5497,-0.30868998,0.31634298,1230,4862,EX229,0.05,uM,A549,1
PSMB1,107.18604,0.11347723,0.6604501,1473,4862,Elimusertib hydrochloride,0.05,uM,A549,1
PSMB5,71.94517,-0.26576656,0.34301364,1473,4862,Elimusertib hydrochloride,0.05,uM,A549,1
PSMB6,96.611115,0.08963672,0.7493442,1473,4862,Elimusertib hydrochloride,0.05,uM,A549,1
PSMB1,121.17089,0.19481026,0.5233034,2265,4862,Encorafenib,0.05,uM,A549,1
PSMB5,78.77424,-0.12803692,0.73068035,2265,4862,Encorafenib,0.05,uM,A549,1
PSMB6,103.525314,0.0012959334,0.99688065,2265,4862,Encorafenib,0.05,uM,A549,1
PSMB1,115.15305,0.40702406,0.047011007,1845,4862,Erdafitinib ,0.05,uM,A549,1
PSMB5,80.20788,0.07647565,0.8628116,1845,4862,Erdafitinib ,0.05,uM,A549,1
PSMB6,93.93192,-0.12510541,0.6930547,1845,4862,Erdafitinib ,0.05,uM,A549,1
PSMB1,124.17388,0.06438436,0.85760975,2704,4862,Everolimus,0.05,uM,A549,1
PSMB5,96.46977,0.012985282,0.9790873,2704,4862,Everolimus,0.05,uM,A549,1
PSMB6,107.3081,-0.24707687,0.5271258,2704,4862,Everolimus,0.05,uM,A549,1
PSMB1,87.21946,-0.0530528,0.90700036,1725,4862,Futibatinib,0.05,uM,A549,1
PSMB5,63.883175,-0.18134269,0.63753057,1725,4862,Futibatinib,0.05,uM,A549,1
PSMB6,88.95508,-0.10816111,0.77032447,1725,4862,Futibatinib,0.05,uM,A549,1
PSMB1,110.077545,0.060666725,0.90424657,1947,4862,GSK1059615,0.05,uM,A549,1
PSMB5,81.67459,0.032447457,0.94853556,1947,4862,GSK1059615,0.05,uM,A549,1
