line,drug,conc,b1,b5,b6,spread,fdr_ok,N_eff
HS-578T,Bortezomib,5.0,-1.5821900367736816,0.7907294631004333,0.47973743081092834,2.372919499874115,False,4.174004213073227
COLO 205,Bortezomib,0.05,2.663318634033203,2.14967942237854,1.1799780130386353,1.4833406209945679,True,5.188532676599866
COLO 205,Ixazomib citrate,5.0,2.714855670928955,2.676102876663208,1.351073145866394,1.363782525062561,True,5.142516789593861
COLO 205,Bortezomib,5.0,1.8729208707809448,1.584791660308838,0.5275893211364746,1.3453315496444702,False,5.267391672404185
COLO 205,Bortezomib,0.5,2.2202494144439697,1.674526572227478,0.8923662900924683,1.3278831243515015,True,5.342509667681596
COLO 205,Ixazomib citrate,0.5,2.925239324569702,2.4317500591278076,1.6840522289276123,1.2411870956420898,True,5.414405707691002
RKO,Bortezomib,0.5,-0.2464078813791275,0.48110052943229675,0.8331776857376099,1.0795855671167374,False,5.533091467362125
RKO,Bortezomib,0.05,0.3622770309448242,-0.005024285521358252,1.0468034744262695,1.0518277599476278,False,5.562966428885826
HT-29,Ixazomib,5.0,-0.7317920923233032,0.24019566178321838,-0.3488016724586487,0.9719877541065216,False,5.626811861442987
A549,Ixazomib citrate,5.0,1.2193913459777832,1.415718674659729,0.4451857805252075,0.9705328941345215,True,5.5888029145651235
LoVo,Bortezomib,5.0,-0.505486786365509,0.40676671266555786,0.34157881140708923,0.9122534990310669,False,5.59458313567088
A549,Ixazomib citrate,0.5,1.3394888639450073,1.488782286643982,0.6050856113433838,0.8836966753005981,True,5.646429139077499
RKO,Ixazomib,5.0,0.1391374170780182,-0.7342807054519653,-0.12105696648359299,0.8734181225299835,False,5.6807526788272
COLO 205,Ixazomib,0.5,0.3205265402793884,0.28798002004623413,-0.5412391424179077,0.8617656826972961,False,5.6243537135090955
HS-578T,Ixazomib,0.05,0.37561267614364624,-0.4418104290962219,-0.01056803297251463,0.8174231052398682,False,5.7329333989128415
A549,Ixazomib,5.0,0.5341362357139587,-0.21981480717658997,0.5944904685020447,0.8143052756786346,False,5.672804887075627
HS-578T,Ixazomib,5.0,-0.5191231966018677,0.13519568741321564,0.29131701588630676,0.8104402124881744,False,5.704630834395239
A549,Bortezomib,0.5,1.1200655698776245,0.9145489931106567,0.4353433847427368,0.6847221851348877,True,5.799509763736179
RKO,Bortezomib,5.0,-0.5167408585548401,-0.26561272144317627,0.1301138699054718,0.6468547284603119,False,5.827450855103903
HS-578T,Ixazomib citrate,0.5,1.3235020637512207,1.0039433240890503,0.6843470335006714,0.6391550302505493,True,5.833702402976769
A549,Bortezomib,5.0,0.6216644048690796,-0.01379148755222559,0.403409481048584,0.6354558924213052,False,5.829853652755173
A549,Ixazomib,0.5,0.45934656262397766,0.11377324163913727,-0.17495325207710266,0.6342998147010803,False,5.8358639367654055
COLO 205,Ixazomib,5.0,-0.7056366205215454,-0.0987599715590477,-0.4992901384830475,0.6068766489624977,False,5.8450870730803945
SW480,Bortezomib,0.5,0.8434919118881226,0.6301643252372742,0.26734659075737,0.5761453211307526,True,5.8607763017426855
SW1417,Ixazomib,5.0,0.45836129784584045,-0.10448558628559113,-0.08197297155857086,0.5628468841314316,False,5.835599825229208
HT-29,Bortezomib,5.0,0.41891297698020935,0.8572394251823425,0.32205337285995483,0.5351860523223877,False,5.867339238483983
LoVo,Bortezomib,0.05,0.39007890224456787,0.9181133508682251,0.5971860885620117,0.5280344486236572,False,5.883818330341684
RKO,Ixazomib,0.05,-0.2163638174533844,-0.36087727546691895,0.15706971287727356,0.5179469883441925,False,5.882963705430523
SW480,Ixazomib citrate,0.5,1.3282092809677124,1.2549068927764893,0.8154509663581848,0.5127583146095276,True,5.873199067950481
SW1417,Ixazomib citrate,0.05,0.07272893190383911,-0.20994515717029572,0.26129189133644104,0.47123704850673676,False,5.906939986545027
SW480,Ixazomib citrate,5.0,1.1034401655197144,1.1006962060928345,0.6447466015815735,0.45869356393814087,True,5.884770059038134
COLO 205,Ixazomib citrate,0.05,0.5712268948554993,0.33020806312561035,0.7870038151741028,0.45679575204849243,False,5.913599477535102
SW1417,Bortezomib,0.5,0.8135250806808472,0.43040797114372253,0.35862210392951965,0.4549029767513275,True,5.901721727684377
SW1417,Ixazomib citrate,0.5,0.8964584469795227,0.4425184428691864,0.5446868538856506,0.4539400041103363,False,5.906676535279715
HT-29,Ixazomib citrate,5.0,0.9416598677635193,1.2419650554656982,0.7900410890579224,0.4519239664077759,True,5.9127259624829795
HT-29,Bortezomib,0.5,1.0385922193527222,0.7136632800102234,0.5950266718864441,0.4435655474662781,True,5.9130624512785825
LoVo,Ixazomib citrate,0.5,1.5878887176513672,1.2915019989013672,1.1449863910675049,0.4429023265838623,True,5.915955351495689
HT-29,Bortezomib,0.05,1.0327404737472534,0.5937991738319397,0.6670189499855042,0.4389412999153137,True,5.908991200389755
HS-578T,Bortezomib,0.05,0.7345011830329895,0.6156846284866333,0.29900655150413513,0.43549463152885437,False,5.915900108317442
HT-29,Ixazomib citrate,0.05,0.29096150398254395,-0.13453596830368042,0.24592263996601105,0.42549747228622437,False,5.909327238336629
SW480,Bortezomib,0.05,0.7071400284767151,0.6924392580986023,0.2953357696533203,0.4118042588233948,True,5.909404102727405
RKO,Ixazomib,0.5,0.34233641624450684,-0.058343272656202316,-0.0185244120657444,0.40067968890070915,False,5.919646396775161
LoVo,Ixazomib,5.0,-0.09398527443408966,-0.46062272787094116,-0.15945759415626526,0.3666374534368515,False,5.93627892619361
A549,Bortezomib,0.05,1.0131973028182983,0.8840471506118774,0.6498638987541199,0.36333340406417847,True,5.943477316631585
HS-578T,Ixazomib citrate,0.05,0.7497316598892212,0.5599783062934875,0.38931915163993835,0.36041250824928284,True,5.945920723339536
HT-29,Ixazomib,0.5,0.14645208418369293,-0.20913918316364288,-0.1155075952410698,0.3555912673473358,False,5.943628278500405
HT-29,Ixazomib citrate,0.5,1.281107783317566,1.424331784248352,1.0754194259643555,0.3489123582839966,True,5.948727556562922
LoVo,Ixazomib citrate,0.05,-0.02149580791592598,0.19622035324573517,0.3267616927623749,0.34825750067830086,False,5.948387883020466
SW1417,Bortezomib,0.05,0.40816566348075867,0.7443887591362,0.46826356649398804,0.3362230956554413,False,5.946645774270725
LoVo,Ixazomib citrate,5.0,1.056978702545166,1.3291090726852417,1.0035889148712158,0.3255201578140259,True,5.949393798168479
HT-29,Ixazomib,0.05,0.21152837574481964,-0.10621043294668198,0.07218965142965317,0.3177388086915016,False,5.9576608331436
COLO 205,Ixazomib,0.05,-0.04511355608701706,0.26340776681900024,0.2637128233909607,0.30882637947797775,False,5.946953977430677
A549,Ixazomib,0.05,0.07496915757656097,0.3692165017127991,0.2446555495262146,0.2942473441362381,False,5.963544053673967
SW1417,Bortezomib,5.0,0.37398800253868103,0.08139234036207199,0.28358328342437744,0.29259566217660904,False,5.962462986654651
SW480,Bortezomib,5.0,-0.08892982453107834,0.07697827368974686,0.197134330868721,0.28606415539979935,False,5.965506781649339
HS-578T,Bortezomib,0.5,0.44621559977531433,0.28613343834877014,0.17310859262943268,0.27310700714588165,False,5.9685472407055595
SW1417,Ixazomib,0.05,0.18803496658802032,0.0017256001010537148,-0.08300060778856277,0.2710355743765831,False,5.967919709683792
SW1417,Ixazomib,0.5,0.03328977897763252,-0.21010713279247284,0.054347094148397446,0.2644542269408703,False,5.963823607759102
HS-578T,Ixazomib citrate,5.0,0.22505539655685425,0.3090578019618988,0.4749816954135895,0.24992629885673523,False,5.9729751732708465
SW480,Ixazomib citrate,0.05,0.15946035087108612,0.10261615365743637,0.328891396522522,0.2262752428650856,False,5.976840716579973
A549,Ixazomib citrate,0.05,0.16928701102733612,0.2757622301578522,0.38243427872657776,0.21314726769924164,False,5.980969944064337
LoVo,Ixazomib,0.5,-0.13777635991573334,-0.23275969922542572,-0.03786134347319603,0.1948983557522297,False,5.984077419006206
SW1417,Ixazomib citrate,5.0,0.5075960159301758,0.633983850479126,0.44197148084640503,0.19201236963272095,True,5.984047107173568
LoVo,Ixazomib,0.05,-0.023810844868421555,-0.20023483037948608,-0.08512941747903824,0.17642398551106453,False,5.9865327274603635
SW480,Ixazomib,0.05,0.007547298911958933,-0.1682761013507843,-0.03588249906897545,0.17582340026274323,False,5.985914208566357
SW480,Ixazomib,0.5,0.018674831837415695,-0.11988319456577301,-0.1563655138015747,0.1750403456389904,False,5.985719151176412
HS-578T,Ixazomib,0.5,-0.21035082638263702,-0.22259221971035004,-0.08862034976482391,0.13397186994552612,False,5.99080340618295
SW480,Ixazomib,5.0,-0.06969232857227325,-0.13195079565048218,-0.024653200060129166,0.10729759559035301,False,5.995121687441227
LoVo,Bortezomib,0.5,0.6349620223045349,0.6609300971031189,0.5711092352867126,0.08982086181640625,True,5.996407588111524
